location,day,number of orders,percentage of deliveries
Columbia,2018-04-21,821,0.08891595615103533
Columbia,2018-04-22,784,0.07397959183673469
Columbia,2018-04-23,749,0.09078771695594126
Columbia,2018-04-24,774,0.08914728682170543
Columbia,2018-04-25,757,0.0845442536327609
Columbia,2018-04-26,797,0.0890840652446675
Columbia,2018-04-27,758,0.08047493403693931
Columbia,2018-04-28,773,0.07761966364812418
Columbia,2018-04-29,744,0.0967741935483871
Columbia,2018-04-30,784,0.07270408163265306
Columbia,2018-05-01,687,0.08442503639010189
Columbia,2018-05-02,674,0.10237388724035608
Columbia,2018-05-03,670,0.11791044776119403
Columbia,2018-05-04,692,0.12138728323699421
Columbia,2018-05-05,720,0.08611111111111111
Columbia,2018-05-06,737,0.06648575305291723
Columbia,2018-05-07,701,0.10271041369472182
Columbia,2018-05-08,736,0.08423913043478261
Columbia,2018-05-09,690,0.09130434782608696
Columbia,2018-05-10,730,0.10136986301369863
Columbia,2018-05-11,718,0.0905292479108635
Columbia,2018-05-12,709,0.07193229901269393
Columbia,2018-05-13,750,0.084
Columbia,2018-05-14,731,0.09302325581395349
Columbia,2018-05-15,712,0.14185393258426968
Columbia,2018-05-16,733,0.07639836289222374
Columbia,2018-05-17,693,0.09235209235209235
Columbia,2018-05-18,750,0.06
Columbia,2018-05-19,739,0.10690121786197564
Columbia,2018-05-20,694,0.09654178674351585
Columbia,2018-05-21,707,0.10325318246110325
Columbia,2018-05-22,715,0.11888111888111888
Columbia,2018-05-23,722,0.09141274238227147
Columbia,2018-05-24,653,0.11332312404287902
Columbia,2018-05-25,694,0.09510086455331412
Columbia,2018-05-26,659,0.07587253414264036
Columbia,2018-05-27,718,0.0905292479108635
Columbia,2018-05-28,713,0.09256661991584852
Columbia,2018-05-29,665,0.12030075187969924
Columbia,2018-05-30,655,0.09618320610687023
Columbia,2018-05-31,695,0.09064748201438849
Columbia,2018-06-01,667,0.08545727136431784
Columbia,2018-06-02,614,0.11889250814332247
Columbia,2018-06-03,696,0.10201149425287356
Columbia,2018-06-04,627,0.09409888357256778
Columbia,2018-06-05,644,0.09316770186335403
Columbia,2018-06-06,715,0.09230769230769231
Columbia,2018-06-07,716,0.10474860335195531
Columbia,2018-06-08,683,0.1054172767203514
Columbia,2018-06-09,618,0.09385113268608414
Columbia,2018-06-10,665,0.07518796992481203
Columbia,2018-06-11,684,0.07309941520467836
Columbia,2018-06-12,658,0.09270516717325228
Columbia,2018-06-13,679,0.10898379970544919
Columbia,2018-06-14,602,0.11129568106312292
Columbia,2018-06-15,687,0.08879184861717612
Columbia,2018-06-16,541,0.09611829944547134
Columbia,2018-06-17,577,0.11091854419410745
Columbia,2018-06-18,611,0.11947626841243862
Columbia,2018-06-19,568,0.11091549295774648
Columbia,2018-06-20,614,0.13029315960912052
Columbia,2018-06-21,565,0.09026548672566372
Columbia,2018-06-22,639,0.08763693270735524
Columbia,2018-06-23,639,0.09076682316118936
Columbia,2018-06-24,547,0.09506398537477148
Columbia,2018-06-25,587,0.11754684838160136
Columbia,2018-06-26,524,0.10687022900763359
Columbia,2018-06-27,527,0.10056925996204934
Columbia,2018-06-28,528,0.13068181818181818
Columbia,2018-06-29,460,0.10217391304347827
Columbia,2018-06-30,474,0.12869198312236288
Columbia,2018-07-01,441,0.12018140589569161
Columbia,2018-07-02,464,0.11422413793103449
Columbia,2018-07-03,503,0.1312127236580517
Columbia,2018-07-04,495,0.12323232323232323
Columbia,2018-07-05,461,0.08893709327548807
Columbia,2018-07-06,485,0.09690721649484536
Columbia,2018-07-07,530,0.11132075471698114
Columbia,2018-07-08,506,0.08695652173913043
Columbia,2018-07-09,490,0.11428571428571428
Columbia,2018-07-10,439,0.1070615034168565
Columbia,2018-07-11,446,0.07847533632286996
Columbia,2018-07-12,482,0.1016597510373444
Columbia,2018-07-13,450,0.08444444444444445
Columbia,2018-07-14,426,0.10093896713615023
Columbia,2018-07-15,453,0.08830022075055188
Columbia,2018-07-16,442,0.083710407239819
Columbia,2018-07-17,478,0.09414225941422594
Columbia,2018-07-18,468,0.10256410256410256
Columbia,2018-07-19,438,0.09360730593607305
Columbia,2018-07-20,471,0.06157112526539278
Columbia,2018-07-21,497,0.08651911468812877
Columbia,2018-07-22,500,0.092
Columbia,2018-07-23,467,0.11349036402569593
Columbia,2018-07-24,462,0.10606060606060606
Columbia,2018-07-25,498,0.10040160642570281
Columbia,2018-07-26,485,0.13195876288659794
Columbia,2018-07-27,524,0.1183206106870229
Columbia,2018-07-28,443,0.11512415349887133
Columbia,2018-07-29,535,0.12149532710280374
Columbia,2018-07-30,499,0.06012024048096192
Columbia,2018-07-31,569,0.12302284710017575
Columbia,2018-08-01,495,0.1111111111111111
Columbia,2018-08-02,520,0.10384615384615385
Columbia,2018-08-03,491,0.109979633401222
Columbia,2018-08-04,567,0.1164021164021164
Columbia,2018-08-05,458,0.11353711790393013
Columbia,2018-08-06,507,0.09467455621301775
Columbia,2018-08-07,543,0.143646408839779
Columbia,2018-08-08,513,0.08966861598440545
Columbia,2018-08-09,546,0.10256410256410256
Columbia,2018-08-10,544,0.10477941176470588
Columbia,2018-08-11,618,0.11650485436893204
Columbia,2018-08-12,563,0.10657193605683836
Columbia,2018-08-13,578,0.09688581314878893
Columbia,2018-08-14,604,0.11589403973509933
Columbia,2018-08-15,576,0.11458333333333333
Columbia,2018-08-16,517,0.1218568665377176
Columbia,2018-08-17,608,0.12828947368421054
Columbia,2018-08-18,593,0.1551433389544688
Columbia,2018-08-19,654,0.09174311926605505
Columbia,2018-08-20,657,0.106544901065449
Columbia,2018-08-21,679,0.09867452135493372
Columbia,2018-08-22,550,0.10727272727272727
Columbia,2018-08-23,645,0.12558139534883722
Columbia,2018-08-24,640,0.09375
Columbia,2018-08-25,644,0.11490683229813664
Columbia,2018-08-26,625,0.0896
Columbia,2018-08-27,614,0.13680781758957655
Columbia,2018-08-28,581,0.12564543889845095
Columbia,2018-08-29,603,0.11940298507462686
Columbia,2018-08-30,615,0.1040650406504065
Columbia,2018-08-31,664,0.09487951807228916
Columbia,2018-09-01,689,0.05805515239477504
Columbia,2018-09-02,672,0.10416666666666667
Columbia,2018-09-03,677,0.10782865583456426
Columbia,2018-09-04,582,0.10996563573883161
Columbia,2018-09-05,641,0.10452418096723869
Columbia,2018-09-06,625,0.1168
Columbia,2018-09-07,700,0.09142857142857143
Columbia,2018-09-08,752,0.07845744680851063
Columbia,2018-09-09,774,0.08656330749354005
Columbia,2018-09-10,763,0.10878112712975098
Columbia,2018-09-11,747,0.10441767068273092
Columbia,2018-09-12,697,0.12051649928263988
Columbia,2018-09-13,666,0.08408408408408409
Columbia,2018-09-14,682,0.0967741935483871
Columbia,2018-09-15,733,0.08594815825375171
Columbia,2018-09-16,729,0.09327846364883402
Columbia,2018-09-17,679,0.11192930780559647
Columbia,2018-09-18,750,0.12133333333333333
Columbia,2018-09-19,708,0.09745762711864407
Columbia,2018-09-20,729,0.07956104252400549
Columbia,2018-09-21,733,0.08185538881309687
Columbia,2018-09-22,715,0.09090909090909091
Columbia,2018-09-23,728,0.08791208791208792
Columbia,2018-09-24,815,0.09815950920245399
Columbia,2018-09-25,708,0.1172316384180791
Columbia,2018-09-26,689,0.10885341074020319
Columbia,2018-09-27,724,0.08287292817679558
Columbia,2018-09-28,747,0.07228915662650602
Columbia,2018-09-29,752,0.08776595744680851
Columbia,2018-09-30,713,0.10378681626928471
Columbia,2018-10-01,656,0.09603658536585366
Columbia,2018-10-02,752,0.09441489361702128
Columbia,2018-10-03,709,0.07757404795486601
Columbia,2018-10-04,702,0.0811965811965812
Columbia,2018-10-05,737,0.07327001356852103
Columbia,2018-10-06,776,0.07989690721649484
Columbia,2018-10-07,719,0.07232267037552156
Columbia,2018-10-08,695,0.08633093525179857
Columbia,2018-10-09,727,0.07702888583218707
Columbia,2018-10-10,705,0.09787234042553192
Columbia,2018-10-11,739,0.15155615696887687
Columbia,2018-10-12,708,0.0903954802259887
Columbia,2018-10-13,765,0.08366013071895424
Columbia,2018-10-14,758,0.08575197889182058
Columbia,2018-10-15,734,0.11716621253405994
Columbia,2018-10-16,767,0.09256844850065189
Columbia,2018-10-17,752,0.08909574468085106
Columbia,2018-10-18,715,0.08251748251748252
Columbia,2018-10-19,723,0.10235131396957123
Columbia,2018-10-20,757,0.0845442536327609
Columbia,2018-10-21,765,0.10196078431372549
Columbia,2018-10-22,771,0.06744487678339818
Columbia,2018-10-23,769,0.07022106631989597
Columbia,2018-10-24,756,0.10449735449735449
Columbia,2018-10-25,761,0.09067017082785808
Columbia,2018-10-26,757,0.0977542932628798
Columbia,2018-10-27,763,0.07208387942332896
Columbia,2018-10-28,738,0.0948509485094851
Columbia,2018-10-29,779,0.07060333761232349
Columbia,2018-10-30,754,0.08222811671087533
Columbia,2018-10-31,751,0.08655126498002663
Columbia,2018-11-01,747,0.09906291834002677
Columbia,2018-11-02,707,0.09900990099009901
Columbia,2018-11-03,759,0.08036890645586298
Columbia,2018-11-04,727,0.08390646492434663
Columbia,2018-11-05,732,0.09289617486338798
Columbia,2018-11-06,770,0.13246753246753246
Columbia,2018-11-07,738,0.07452574525745258
Columbia,2018-11-08,760,0.10263157894736842
Columbia,2018-11-09,815,0.12147239263803682
Columbia,2018-11-10,741,0.10796221322537113
Columbia,2018-11-11,782,0.10358056265984655
Columbia,2018-11-12,756,0.08333333333333333
Columbia,2018-11-13,740,0.08243243243243244
Columbia,2018-11-14,728,0.11675824175824176
Columbia,2018-11-15,735,0.15782312925170067
Columbia,2018-11-16,771,0.06355382619974059
Columbia,2018-11-17,784,0.09311224489795919
Columbia,2018-11-18,741,0.09851551956815115
Columbia,2018-11-19,728,0.09478021978021978
Columbia,2018-11-20,746,0.08981233243967829
Columbia,2018-11-21,689,0.10740203193033382
Columbia,2018-11-22,681,0.14243759177679882
Columbia,2018-11-23,676,0.11686390532544379
Columbia,2018-11-24,726,0.1046831955922865
Columbia,2018-11-25,734,0.09536784741144415
Columbia,2018-11-26,767,0.12385919165580182
Columbia,2018-11-27,707,0.10466760961810467
Columbia,2018-11-28,732,0.0942622950819672
Columbia,2018-11-29,749,0.10013351134846461
Columbia,2018-11-30,776,0.09020618556701031
Columbia,2018-12-01,730,0.10136986301369863
Columbia,2018-12-02,818,0.09168704156479218
Columbia,2018-12-03,813,0.11562115621156212
Columbia,2018-12-04,768,0.09244791666666667
Columbia,2018-12-05,764,0.1099476439790576
Columbia,2018-12-06,735,0.10476190476190476
Columbia,2018-12-07,712,0.09129213483146068
Columbia,2018-12-08,749,0.1308411214953271
Columbia,2018-12-09,731,0.11080711354309165
